,Body Name,IMAGE,Product Tags: Body,Core Body Number,TAG: Body,id
15,WRAP TOP,f8g63dYS5CC56dwUwszM_tk_3002.jpg (https://dl.airtable.com/HDpW491SE6EI9XBKfDug_f8g63dYS5CC56dwUwszM_tk_3002.jpg),,TK-3068,"Body Top 3, Fit Relaxed, Use Day, Use Work, Use Weekend, Neck V, Length Medium, Sleeve None, Detail Gathering, Detail Soft",recqzKt7mwoIAFKun
16,Wrap Skirt,wregDrSxRXWQ78cj6dOQ_Capture.JPG (https://dl.airtable.com/BcdCVKOsRyuh3loUcbDI_wregDrSxRXWQ78cj6dOQ_Capture.JPG),,TK-1010,"Use Day, Use Weekend, Detail Soft, Body Top 3, Fit Relaxed, Use Work, Length Medium, Neck None/Open, ",recwUHe2hBPWHjTQY
17,Wrap Kilt Skirt,cjP6ElHvT1WBfttT0eRt_Screen%20Shot%202018-04-02%20at%203.39.07%20PM.png (https://dl.airtable.com/XPtEEQa7TQaREMgRrc7j_cjP6ElHvT1WBfttT0eRt_Screen%2520Shot%25202018-04-02%2520at%25203.39.07%2520PM.png),,KT-1008,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, Sleeve None, Detail Gathering, Body Top 3, ",recvtmE2fH312a2VO
18,Wrap Kilt,z22ML00GTlOzRWULHNbM_Screen%20Shot%202017-10-27%20at%2011.28.40%20AM.png (https://dl.airtable.com/NxZfpptT6qm45FbPcspM_z22ML00GTlOzRWULHNbM_Screen%2520Shot%25202017-10-27%2520at%252011.28.40%2520AM.png),,KT-1006,"Use Day, Use Work, Use Weekend, Detail Soft, Body Top 3, ",rec4ohRaMFvM1ttkR
19,Wrap Goddess Dress,P73fiyMrSPSB5y5lurag_tk-6060%20wrap%20goddess%20dress.jpg (https://dl.airtable.com/hkNZagnuTlGftX0cbWAq_P73fiyMrSPSB5y5lurag_tk-6060%2520wrap%2520goddess%2520dress.jpg),,TK-6060,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, ",recagZzEiUd8sZae0
20,Wrap Dress,bWtQgKuZQpWv1dekGXw9_Screen%20Shot%202018-01-05%20at%2011.38.28%20AM.png (https://dl.airtable.com/x5kAxFVwRxi74ppneG3I_bWtQgKuZQpWv1dekGXw9_Screen%2520Shot%25202018-01-05%2520at%252011.38.28%2520AM.png),,TK-6009,"Use Day, Use Weekend, Fit Relaxed, Detail Soft, Use Work, ",reccdFLyX73rtubtM
21,Wrap Classic Blouse ,zDCH6Cc3QQSYzdi26c5L_mwjd44D7t9zy6YYbVrKtEfg.jpg (https://dl.airtable.com/BTUsAgXZSEyh7EdnEkVx_zDCH6Cc3QQSYzdi26c5L_mwjd44D7t9zy6YYbVrKtEfg.jpg),,TK-3036,"Use Day, Use Weekend, Fit Relaxed, Detail Soft, Use Work, ",rec9iDVVIg0zFRKMV
22,Woven Shorts,VykHNSiQcSN0aXaZuq6z_shorts.png (https://dl.airtable.com/D0wZuvoTh6hqUFtCX1mT_VykHNSiQcSN0aXaZuq6z_shorts.png),,CM-2004,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, Sleeve None, Detail Gathering, Body Top 3, ",recsjCoULz64kAexd
23,Woven Cropped Ballet Wrap Top ,gCokmroVRqkomjDtMGiM_TK-3061-THE%20BALLET%20CROP%20TOP%20(1).jpg (https://dl.airtable.com/DhAA43tSTSKMT4l8wMtd_gCokmroVRqkomjDtMGiM_TK-3061-THE%2520BALLET%2520CROP%2520TOP%2520(1).jpg),,TK-3034,"Body Top 3, Fit Skin, Use Day, Use Weekend, Neck V, Length Short, Sleeve Medium, Detail Waist Band, Detail Soft, Detail Waist Tie/Belt",rec3WJ8pghGNBrcLm
24,WOVEN BUTTON UP,XgtdTIijTwW9DrMedwHa_Screen%20Shot%202017-12-11%20at%201.30.11%20PM.png (https://dl.airtable.com/j0bre68YTva5dscxTKqP_XgtdTIijTwW9DrMedwHa_Screen%2520Shot%25202017-12-11%2520at%25201.30.11%2520PM.png),,CM-3005,"Use Day, Use Work, Detail Soft, Use Weekend, Fit Relaxed, ",recAHPiBZL154nd1Z
25,Work Pant,cdu1ajNR8q1zURRRnjWW_Screen%20Shot%202018-02-28%20at%2012.13.42%20PM.png (https://dl.airtable.com/ZjdrKSLROCCeEcJpIRsB_cdu1ajNR8q1zURRRnjWW_Screen%2520Shot%25202018-02-28%2520at%252012.13.42%2520PM.png),,KT-2013,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, ",recIjETUNis9x2zcj
26,Women's Shirt with Front Placket,OgykesBcTXinQQWwqiL5_nUFiJtqJRtGvNBXnBYis_full_JR-3008-WYOMING.jpg (https://dl.airtable.com/aZmfXnSWOEXzrhpRqcxQ_OgykesBcTXinQQWwqiL5_nUFiJtqJRtGvNBXnBYis_full_JR-3008-WYOMING.jpg),,JR-3015,"Use Day, Use Weekend, Fit Relaxed, Use Work, Detail Soft, Detail Gathering, Body Top 3, Sleeve None, ",recz6EwTpd65AQ65h
27,Women's Shirt,CK9LagvTQPyGA4WDVzaa_WOMENS%20SHIRT.jpg (https://dl.airtable.com/mJJxfpLjQtyV9StXJqOv_CK9LagvTQPyGA4WDVzaa_WOMENS%2520SHIRT.jpg),,JR-3001,"Use Day, Use Weekend, Fit Relaxed, Use Work, Detail Soft, Detail Gathering, Body Top 3, Sleeve None, ",recjFriMJL1B901Hi
28,Women's Jeans ,4IdNVBtMTruCkri6kgdz_Women%27s%20Jeans.JPG (https://dl.airtable.com/qFBh6tt2TkiL3G31YXoB_4IdNVBtMTruCkri6kgdz_Women%2527s%2520Jeans.JPG),,RS-2008,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, ",recHP5ksHLxc6xNdk
29,Wild Cuff Pant,5ofZoz6TcyIFXmfIqeXA_Screen%20Shot%202018-05-18%20at%2012.59.16%20PM.png (https://dl.airtable.com/FqSeJgWVSlWorpJuRiuR_5ofZoz6TcyIFXmfIqeXA_Screen%2520Shot%25202018-05-18%2520at%252012.59.16%2520PM.png),,TS-2012,"Use Day, Use Work, Detail Soft, Body Top 3, Length Medium, Neck V, Use Weekend, Fit Relaxed, ",recZT5z8BCEbeBNWz
30,Wide Leg Plain,7C1EsofSv2ywi2aZ946A_Screen%20Shot%202018-05-10%20at%2010.31.23%20AM.png (https://dl.airtable.com/UvXLheMVScKt7L5QY9Pi_7C1EsofSv2ywi2aZ946A_Screen%2520Shot%25202018-05-10%2520at%252010.31.23%2520AM.png),,TS-2008,"Use Day, Use Weekend, Detail Soft, Fit Relaxed, Use Work, Sleeve None, Detail Gathering, Body Top 3, ",recRdzTkivRDt7huD
31,Wide Leg Lightning ,YKyB0HC9SJ6pA2rveLpe_Wide%20Leg%20Sketch.pdf (https://dl.airtable.com/nNBNwPDS3q8fV7CRKMH4_YKyB0HC9SJ6pA2rveLpe_Wide%2520Leg%2520Sketch.pdf),,TS-2004,,recGavw8Wyn2Gw2Na
32,Wide Leg Crop Pant ,wyNukINBRJiBilQvOa3M_Screen%20Shot%202018-06-28%20at%202.52.53%20PM.png (https://dl.airtable.com/zu30OQRGOMYPwXNfh04Q_wyNukINBRJiBilQvOa3M_Screen%2520Shot%25202018-06-28%2520at%25202.52.53%2520PM.png),,TK-2032,"Body Pant 2, Fit Tailored, Use Day, Use Work, Use Weekend, Use Evening, Length Long, Neck None/Open, Sleeve None, Detail Pocket, Detail Soft, Detail Waist Band, Detail Topstitching",rec8VFlsfaTM5wXjU
33,Wide Leg - Vertical Org Panel,Huwjh663R7qWkrsjkeRe_Wide%20Leg%20-%20Vertical%20Org%20Panel.pdf (https://dl.airtable.com/d7OF83PiQGiQrYBv01Mi_Huwjh663R7qWkrsjkeRe_Wide%2520Leg%2520-%2520Vertical%2520Org%2520Panel.pdf),,TS-2007,,recc8xJJYJjmRouGn
34,Wesley Cropped Tee,VkbUw9APQF20bAZONp2g_Screen%20Shot%202018-11-05%20at%2012.54.07%20PM.jpg (https://dl.airtable.com/mGGwtENLQEyOl4CTYqc4_VkbUw9APQF20bAZONp2g_Screen%2520Shot%25202018-11-05%2520at%252012.54.07%2520PM.jpg),,RM-3016,"Use Day, Use Work, Body Top 3, Use Weekend, Length Medium, ",recb3TdBptwAW4SjX
35,WAISTCOAT WITH WELT POCKET,EOeOQ6LyTdOZ9cRtDJAN_vest%204.jpg (https://dl.airtable.com/3ZhQEWfWRhuBRpjamo5Z_EOeOQ6LyTdOZ9cRtDJAN_vest%25204.jpg),,JR-4002,"Use Day, Use Work, Use Weekend, Body Top 3, Length Medium, ",rec1rKzq5aRYHB7Qu
36,WAISTCOAT WITH PATCH POCKET,LE59GHbQ9atUe2vfskkO_HANDSOME%20WAISTCOAT.jpg (https://dl.airtable.com/qyyaYth9SAaVwNZEpXOl_LE59GHbQ9atUe2vfskkO_HANDSOME%2520WAISTCOAT.jpg),,JR-4009,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, ",rec2YLGNz48GaPVaG
37,Victoria Skirt,wgS14EiQKvzmLPVpvigB_Screen%20Shot%202018-11-09%20at%207.00.49%20PM.png (https://dl.airtable.com/ic5WftwTGmojlJE3ljho_wgS14EiQKvzmLPVpvigB_Screen%2520Shot%25202018-11-09%2520at%25207.00.49%2520PM.png),,TK-1019,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, Sleeve None, Detail Gathering, Body Top 3, ",recRY6tt6wRwAJ4UH
38,Vest Jacket ,TemkPVApS9StCfDWbRBF_Screen%20Shot%202018-01-05%20at%2011.22.53%20AM.png (https://dl.airtable.com/67x9RuHTQQCwAlkGAXZp_TemkPVApS9StCfDWbRBF_Screen%2520Shot%25202018-01-05%2520at%252011.22.53%2520AM.png),,TK-4002,"Use Day, Use Weekend, Fit Relaxed, Detail Soft, Use Work, ",recE9vYmMX8BfmZNY
39,v-neck Sweatshirt,xLl63NyyQbOZ2L5Azqrp_sweatshirt-1.jpg (https://dl.airtable.com/st7TacDRRh2ox0dYf4hv_xLl63NyyQbOZ2L5Azqrp_sweatshirt-1.jpg),,JR-3013,"Use Day, Use Weekend, Detail Soft, Fit Relaxed, Use Work, Sleeve None, Detail Gathering, Body Top 3, ",recR0chxULiJz6R10
40,V-neck Cropped Jersey,Xg8tNM9SVWCWl9iNOo0A_Screen%20Shot%202018-04-02%20at%2011.52.42%20AM.png (https://dl.airtable.com/wmgQpO6OQWi5KKkA3ULe_Xg8tNM9SVWCWl9iNOo0A_Screen%2520Shot%25202018-04-02%2520at%252011.52.42%2520AM.png),,KT-3033,"Use Day, Use Weekend, Sleeve None, Use Work, Detail Soft, ",rech6PlNrivqrN6bk
41,V Neck Jumpsuit,R08lgsrySXSKtStO6OYS_IMG_2637.jpg (https://dl.airtable.com/Nfwzz1WAQ92EWE05JCtT_R08lgsrySXSKtStO6OYS_IMG_2637.jpg),,TK-2028,"Body Other 7, Fit Relaxed, Use Day, Use Work, Use Weekend, Neck V, Length Long, Sleeve None, Detail Gathering, Detail Pocket, Detail Soft, Detail Waist Elastic, Detail Waist Tie/Belt",rechtEc1pKOVYNrI9
42,UNITED,2XiJIMnGQeqC03a24Y0w_17F6-1-HKY.jpg (https://dl.airtable.com/hTfxaukzTnmW53WZKpim_2XiJIMnGQeqC03a24Y0w_17F6-1-HKY.jpg),,NF-7000,"Body Top 3, Use Day, Length Medium, Use Work, Detail Soft, Use Weekend, Fit Relaxed, Sleeve None, ",recRzjIfgV4w1gs7Q
43,Turtleneck,vFnu1JkIRayxtiiZyvky_Screen%20Shot%202018-08-27%20at%2011.48.12%20AM.png (https://dl.airtable.com/JTK1dAqVTGWK0qaZ8g3C_vFnu1JkIRayxtiiZyvky_Screen%2520Shot%25202018-08-27%2520at%252011.48.12%2520AM.png),,KT-3038,"Use Day, Use Weekend, Use Work, Fit Relaxed, Detail Soft, Sleeve None, Detail Gathering, Body Top 3, ",reckv8lwgkktWeeXz
44,Tulip Sleeve Blouse,eqBwHYnZRzeIPNx7Vc77_Screen%20Shot%202018-12-03%20at%202.42.13%20PM.png (https://dl.airtable.com/4S5RjyHQSFOnq6kGWEwP_eqBwHYnZRzeIPNx7Vc77_Screen%2520Shot%25202018-12-03%2520at%25202.42.13%2520PM.png),,TK-3060,"Body Top 3, Fit Relaxed, Use Day, Use Work, Use Evening, Use Weekend, Neck Crew, Length Medium, Sleeve Long, Detail Collar, Detail Cuff Band, Detail Gathering, Detail Placket, Detail Soft",rec7oBZna8VkPCBN1
45,TSHIRT DRESS,,,TK-6005,,recvPWYvbwsxqGBp2
