,Color_Name_,Color_Code,IMAGE,TAG: Color,id
198,stars repeat file,STARNY,99IW0IZvTXG5stm7vzoi_stars%20repeat%20file.JPG (https://dl.airtable.com/tlGEQE4QTHWUXEiiH3z7_99IW0IZvTXG5stm7vzoi_stars%2520repeat%2520file.JPG),"Primary powderblue, Secondary midnightblue,  Bright Medium,  Contrast Low, Field Medium, Genre Jewel",rec64QeVtN53Y2IiG
199,Multicolor Basket Stripe,MULTGC,Z9bw8B0PRjqCl9Twak3z_Screen%20Shot%202018-04-25%20at%204.26.23%20PM.png (https://dl.airtable.com/zNdMn5YZQ0mnASkUXygl_Z9bw8B0PRjqCl9Twak3z_Screen%2520Shot%25202018-04-25%2520at%25204.26.23%2520PM.png),"Primary Ivory, Secondary Pink, Field Small, Contrast High, Bright High, Genre Stripe",rec68CnbJqguroj1T
200,Bazaar Batik,SINGCT,HfoNgKBTh2LKcfQFqrgp_Screen%20Shot%202018-04-18%20at%205.43.08%20PM.png (https://dl.airtable.com/XcdVfuX5TmOhXyJsaTpl_HfoNgKBTh2LKcfQFqrgp_Screen%2520Shot%25202018-04-18%2520at%25205.43.08%2520PM.png),"Primary Blue, Secondary White, Field Medium, Bright Medium, Bright Low, Genre Floral",rec69Cti2CQlk6pAh
201,DJ Blue Juke,BLUKJU,DhsiAx1jR0KjXnuZqKeX_Screen%20Shot%202017-08-09%20at%2011.40.33%20AM.png (https://dl.airtable.com/8UTfxnqWRAesl5Xew9fB_DhsiAx1jR0KjXnuZqKeX_Screen%2520Shot%25202017-08-09%2520at%252011.40.33%2520AM.png),"Primary Blue, Primary Gray, Field Medium, Bright Medium, Genre Geometric, Genre Trompe L'oeil",rec6BPiBGsnW2isPu
202,DARK MOSS,DARKMO,BE7EsRiLQZqaHPBjtQ7A_viscose.JPG (https://dl.airtable.com/fyMER2RJSgedhqS3UcRy_BE7EsRiLQZqaHPBjtQ7A_viscose.JPG),"Primary lightgray, Secondary dimgrey,  Bright Medium,  Contrast Low, Field Medium, Genre Jewel",rec6G1gLvze7xTOxU
203,The Harvard University Plaid,HARVAI,zuat9GHmRAujW8utEIzF_Screen%20Shot%202017-05-24%20at%204.40.23%20PM.png (https://dl.airtable.com/C9Ew4jH8QAapu3sTbhXJ_zuat9GHmRAujW8utEIzF_Screen%2520Shot%25202017-05-24%2520at%25204.40.23%2520PM.png),"Primary brown, Secondary silver,  Bright Medium,  Contrast Low, Field Large, Genre Floral",rec6HbtuyYbz1NRXk
204,The Dazzle Ships Plaid,DAZZHB,RaDdsd3sRXCns6Vc9J2G_Screen%20Shot%202018-01-03%20at%202.41.44%20PM.png (https://dl.airtable.com/yMI6RNt9QPusmmPatPIN_RaDdsd3sRXCns6Vc9J2G_Screen%2520Shot%25202018-01-03%2520at%25202.41.44%2520PM.png),"Primary darkgray, Secondary dimgrey,  Bright Medium,  Contrast Low, Field Large, Genre Blocking",rec6IQ4QGcBiC2vf1
205,Graffiti Floral Placement Print for CTF19 Cropped Sweatshirt,GRAFVH,gP18RDHfSxA9RPjK4V6Q_Screen%20Shot%202018-03-30%20at%206.17.06%20PM.png (https://dl.airtable.com/3kHm38kRgmwQ2VUg3K4Q_gP18RDHfSxA9RPjK4V6Q_Screen%2520Shot%25202018-03-30%2520at%25206.17.06%2520PM.png),"Primary darkgray, Secondary darkslategray,  Bright Medium,  Contrast Low, Field Large, Genre Jewel",rec6KVcgDzJ1Ckgim
206,Mr. Bousquet,IVORYG,v5d3446QminVFWSp1rNN_Screen%20Shot%202017-06-01%20at%2012.10.43%20PM.png (https://dl.airtable.com/B2OLnqIJRcuui0Mu7Z9N_v5d3446QminVFWSp1rNN_Screen%2520Shot%25202017-06-01%2520at%252012.10.43%2520PM.png),"Primary Ivory, Primary Beige, Field Large, Bright Low, Contrast Low, Genre Geometric",rec6RQj6LJY48vr7I
207,The Andrew Wyeth Plaid,ANDRKI,1zknpaukRZioqrucxxoO_Screen%20Shot%202018-05-14%20at%204.49.01%20PM.png (https://dl.airtable.com/y0JhiVEUQdW6bKP65b8z_1zknpaukRZioqrucxxoO_Screen%2520Shot%25202018-05-14%2520at%25204.49.01%2520PM.png),"Genre Plaid, Genre Stripe, Genre Blocking, Primary Green, Secondary Gray, Contrast Low, Bright Low",rec6S8gq8J70CZFt5
208,The M1942 Camo,MCAMAV,mUlL1bMVSlaxIooukoxu_Screen%20Shot%202018-07-13%20at%201.15.23%20PM.png (https://dl.airtable.com/nlbhWkvYRCuNqaWbpIyd_mUlL1bMVSlaxIooukoxu_Screen%2520Shot%25202018-07-13%2520at%25201.15.23%2520PM.png),"Primary Green, Secondary Yellow, Field Small, Contrast Medium, Bright Medium, Genre Nature",rec6SYPzMMmQDyDWt
209,Mint Grid,MINTGN,FWb33iZ0SVFATyOsxFeQ_Screen%20Shot%202017-05-18%20at%203.48.16%20PM.png (https://dl.airtable.com/Fi0HdIpQPeUKbsUVxJLy_FWb33iZ0SVFATyOsxFeQ_Screen%2520Shot%25202017-05-18%2520at%25203.48.16%2520PM.png),"Primary lightcyan, Secondary lightgray,  Bright High,  Contrast Low, Field Large, Genre Whimsy",rec6TmIof1Uki2deO
210,leo,LONAHJ,4c7uSSVQByZY3FaOG0vg_Screen%20Shot%202017-08-17%20at%2010.28.33%20AM.png (https://dl.airtable.com/61osG1eTvKGdT3XrSQw2_4c7uSSVQByZY3FaOG0vg_Screen%2520Shot%25202017-08-17%2520at%252010.28.33%2520AM.png),"Primary white, Secondary khaki,  Bright High,  Contrast Low, Field Large, Genre Jewel",rec6Y9mV4cKlHS9a4
211,17-F1-24-FIST_XL-B,FFISVI,66iivwDTrCcJHyT4xfmz_Screen%20Shot%202017-08-03%20at%205.21.35%20PM.png (https://dl.airtable.com/wA7olWdYQQu9NPXniCK0_66iivwDTrCcJHyT4xfmz_Screen%2520Shot%25202017-08-03%2520at%25205.21.35%2520PM.png),"Primary black, Secondary whitesmoke,  Bright Low,  Contrast Medium, Field Medium, Genre Plaid",rec6ZMrvaXpbqwvx9
212,Mint,MINTGR,lU8JwamzTIq6S8agkvWG_rw2.png (https://dl.airtable.com/w4GnCxDlQGejDFkRiSDG_lU8JwamzTIq6S8agkvWG_rw2.png),"Primary powderblue, Secondary skyblue,  Bright High,  Contrast Low, Field Large, Genre Stripe",rec6aaNyYSG03XPn2
213,The Brown and Black Lumberjack Plaid,RDANFE,yBalu1SQpez52rzUd3Ow_Screen%20Shot%202017-10-02%20at%204.22.41%20PM.png (https://dl.airtable.com/z7FUFKcwQMCKPwsgrJes_yBalu1SQpez52rzUd3Ow_Screen%2520Shot%25202017-10-02%2520at%25204.22.41%2520PM.png),"Genre Plaid, Primary Red, Secondary Black, Field Large, Bright High, Bright Medium",rec6fAZjncPEhgJcX
214,Blush Bold Stripe (horizontal),BLUSED,bLPC8wwWSDu7s9ZUaeiI_Screen%20Shot%202018-03-05%20at%203.13.27%20PM.png (https://dl.airtable.com/Mn1GGAtrSnSxNW2ulQp3_bLPC8wwWSDu7s9ZUaeiI_Screen%2520Shot%25202018-03-05%2520at%25203.13.27%2520PM.png),"Primary gainsboro, Secondary burlywood,  Bright High,  Contrast Low, Field Large, Genre Jewel",rec6i8YMo8yowYoq3
215,Red Striped Floral,RDSTCX,36nABKpIRxaPXZZoHuGD_Screen%20Shot%202017-12-06%20at%2011.21.02%20AM.png (https://dl.airtable.com/RYEAhS8CTCXIBP2R6eOw_36nABKpIRxaPXZZoHuGD_Screen%2520Shot%25202017-12-06%2520at%252011.21.02%2520AM.png),"Primary whitesmoke, Secondary rosybrown,  Bright High,  Contrast Low, Field Large, Genre Stripe",rec6m4p3IKnMxdsMZ
216,NF Sunburst Patch 3x3 2Fatigue Circle Patch,NFSUAC,byyBcLinTi65etUpWAFg_2Fatigue%20Screen%20Shot%202018-09-28%20at%203.23.53%20PM.jpg (https://dl.airtable.com/Bsujx9kNREK6UqZoOkVf_byyBcLinTi65etUpWAFg_2Fatigue%2520Screen%2520Shot%25202018-09-28%2520at%25203.23.53%2520PM.jpg),"Primary white, Secondary darkolivegreen,  Bright Medium,  Contrast Medium, Field Medium, Genre Jewel",rec6nQfX9S7Q6JZmI
217,Sunset Pink Paisley ,SUNSQW,RICQQ7swQ96hovv4Dhh8_Screen%20Shot%202018-07-05%20at%204.02.14%20PM.png (https://dl.airtable.com/5TPwbBXdQUyReM8gaXhR_RICQQ7swQ96hovv4Dhh8_Screen%2520Shot%25202018-07-05%2520at%25204.02.14%2520PM.png),"Primary Pink, Secondary Blue, Contrast Low, Field Medium, Bright Medium, Genre Floral",rec6o2SvypZDQHIfH
218,The Air Force Plaid,AIRFTT,vOrAWdJSQve3rIb8GY7n_Screen%20Shot%202018-06-18%20at%201.43.53%20PM.png (https://dl.airtable.com/iRJjkX39SHC6CYZ8WmHq_vOrAWdJSQve3rIb8GY7n_Screen%2520Shot%25202018-06-18%2520at%25201.43.53%2520PM.png),"Primary silver, Secondary dimgrey,  Bright Medium,  Contrast Low, Field Medium, Genre Whimsy",rec6oSXx2qohA4ARB
219,BUBBLE STRIKEOFF,BUBBPX,5bNDpCiQl6Im4smOjlxN_Screen%20Shot%202018-04-25%20at%206.25.14%20PM.png (https://dl.airtable.com/V0UrPvNbSpm40SjG6Swg_5bNDpCiQl6Im4smOjlxN_Screen%2520Shot%25202018-04-25%2520at%25206.25.14%2520PM.png),"Primary palegoldenrod, Secondary maroon,  Bright Medium,  Contrast Medium, Field Large, Genre Nature",rec6pKnkubL4RckTi
220,GLITCH L/S TEE 1,GLITZU,NdDnuR0R3OCFIH329BpA_Screen%20Shot%202018-06-05%20at%203.26.18%20PM.png (https://dl.airtable.com/39hInXEYQM2vNFeZlLFu_NdDnuR0R3OCFIH329BpA_Screen%2520Shot%25202018-06-05%2520at%25203.26.18%2520PM.png),"Primary gainsboro, Secondary darkslategray,  Bright High,  Contrast Low, Field Large, Genre Stripe",rec6sSKwKnDqQzhC6
221,Skull Diagonal Repeat Inverted,SKULGU,x4UeeDG1Q0SkaUnPMGqz_diagonal%20skull%20inverted.JPG (https://dl.airtable.com/l38rjrGzSLCXo4snGyvK_x4UeeDG1Q0SkaUnPMGqz_diagonal%2520skull%2520inverted.JPG),"Primary Black, Secondary White, Field Medium, Contrast Medium, Bright Low, Genre Dark",rec6soPwN1AWe4HKO
222,Ceramic Dots A,CRAMWT,etEtib9iT5Qtw3XTXEF6_Screen%20Shot%202018-07-24%20at%2012.15.31%20PM.jpg (https://dl.airtable.com/ahdlwGPGQS2Wcna9zeMJ_etEtib9iT5Qtw3XTXEF6_Screen%2520Shot%25202018-07-24%2520at%252012.15.31%2520PM.jpg),"Primary darkseagreen, Secondary whitesmoke,  Bright High,  Contrast Low, Field Large, Genre Animation",rec6tb6f2r10bBTbv
223,Yellow Floral,YLLOWC,9jXLKDMxQV6POfDbHIkQ_Screen%20Shot%202017-06-13%20at%202.22.33%20PM.png (https://dl.airtable.com/hJQjEhfRzOvi2WZVL1pZ_9jXLKDMxQV6POfDbHIkQ_Screen%2520Shot%25202017-06-13%2520at%25202.22.33%2520PM.png),"Primary palevioletred, Secondary yellow,  Bright High,  Contrast Low, Field Large, Genre Jewel",rec6tzkHbJvU3RVCB
224,PEACE OUT,PACONL,MiJoPhDQaaRJTYRJpdeJ_PEACE%20OUT.JPG (https://dl.airtable.com/mbzPpXSNyIanTUQ7MzTA_MiJoPhDQaaRJTYRJpdeJ_PEACE%2520OUT.JPG),"Primary darkslategray, Secondary white,  Bright High,  Contrast Low, Field Large, Genre Jewel",rec6vUkHpYYM4Us0s
225,Navy Gingko Leaf,NVGNKO,tHs8WmyxSLC6oOLrHRJa_Screen%20Shot%202017-07-12%20at%206.00.38%20PM.png (https://dl.airtable.com/pSgltoPsS4G8vnHpSpze_tHs8WmyxSLC6oOLrHRJa_Screen%2520Shot%25202017-07-12%2520at%25206.00.38%2520PM.png),"Contrast Medium, Bright Low, Genre Floral, Field Large, Secondary Ivory, Primary Blue",rec70FCHxIYUplWu0
226,September Navy,SPTMRS,vaI1HmdjSHKovXjtBAhm_Screen%20Shot%202018-06-14%20at%2012.19.23%20PM.png (https://dl.airtable.com/2YHLpp1bT6mz7i0uNTcB_vaI1HmdjSHKovXjtBAhm_Screen%2520Shot%25202018-06-14%2520at%252012.19.23%2520PM.png),"Primary Blue, Field Solid, Bright Low",rec70VkvuFCdgCWgT
227,The Bioshock Plaid,BIOSHG,W2JMIdleReumSWxPFC1l_Screen%20Shot%202017-07-07%20at%203.00.59%20PM.png (https://dl.airtable.com/GhnGFUBYTW6Vf1FkS8bO_W2JMIdleReumSWxPFC1l_Screen%2520Shot%25202017-07-07%2520at%25203.00.59%2520PM.png),"Genre Plaid, Primary Yellow, Secondary Charcoal, Field Large, Contrast Medium, Bright Medium",rec73dJqjMKRwABqq
228,NASA ALT STRIPE,NASAST,lyt0PH1GR4mgnIKYE64o_Screen%20Shot%202018-07-31%20at%204.03.43%20PM.png (https://dl.airtable.com/NJgxs1yRnakmfEynG92Y_lyt0PH1GR4mgnIKYE64o_Screen%2520Shot%25202018-07-31%2520at%25204.03.43%2520PM.png),"Primary darksalmon, Secondary lightgray,  Bright High,  Contrast Low, Field Large, Genre Stripe",rec73hCDwcRU6TE1Z
229,CLAWMINI-LOGO- L/S TOP ON GREY,CLAWTB,khAqModwSX2l6bPvTIVt_CLAWMINI-LOGO-ONHEATHERGREY.png (https://dl.airtable.com/dmQUBenRQxy5GUKLEhEg_khAqModwSX2l6bPvTIVt_CLAWMINI-LOGO-ONHEATHERGREY.png),"Primary darkgray, Secondary darkslategray,  Bright Medium,  Contrast Low, Field Large, Genre Plaid",rec74PWTAsJOtftVe
230,The Flying Ace Plaid Darker,FLYIWI,S898tca5Tn6XS6ARwgvQ_Screen%20Shot%202018-02-19%20at%202.16.18%20PM.png (https://dl.airtable.com/BuORitGQSIqjfkpWi2ta_S898tca5Tn6XS6ARwgvQ_Screen%2520Shot%25202018-02-19%2520at%25202.16.18%2520PM.png),"Primary tan, Secondary saddlebrown,  Bright Medium,  Contrast Low, Field Large, Genre Plaid",rec76PddEwCsCPl7o
231,The Anderson Plaid,ANDRYW,Y5OVwvpDQs2RAf7KNqsC_Screen%20Shot%202018-01-15%20at%203.12.43%20PM.png (https://dl.airtable.com/62BrdIUTRSWgxuerA6dt_Y5OVwvpDQs2RAf7KNqsC_Screen%2520Shot%25202018-01-15%2520at%25203.12.43%2520PM.png),"Primary black, Secondary firebrick,  Bright Low,  Contrast Low, Field Medium, Genre Animal",rec76VzC1zuXx7zfz
232,NF Sunbust 17.5 4Fatigue scarf,NFSUMY,OTGAqACT9GgzjQLX1dm1_4Fatigue%20Screen%20Shot%202018-09-28%20at%203.58.01%20PM.jpg (https://dl.airtable.com/RhlpxkfSSGynR6kpT6vo_OTGAqACT9GgzjQLX1dm1_4Fatigue%2520Screen%2520Shot%25202018-09-28%2520at%25203.58.01%2520PM.jpg),"Primary black, Secondary darkolivegreen,  Bright Low,  Contrast Low, Field Large, Genre Nature",rec7A4lb0F1UIJ12m
233,Neon Yellow,NONYNX,d138t4ZZT2q7JJco1ufM_Screen%20Shot%202018-11-01%20at%203.18.29%20PM.jpg (https://dl.airtable.com/jBIetMjeRKaSd82BRNH0_d138t4ZZT2q7JJco1ufM_Screen%2520Shot%25202018-11-01%2520at%25203.18.29%2520PM.jpg),"Primary greenyellow,  Bright High,  Contrast Low, Field Medium, Genre Floral",rec7DPYJQJKGCbHRv
234,The Catcher in the Rye Plaid,CATCHR,S4XKSgpSQQeQeu7mUnuE_Screen%20Shot%202017-05-08%20at%2012.47.20%20PM.png (https://dl.airtable.com/ARB40ELgRYakWxcTtlUW_S4XKSgpSQQeQeu7mUnuE_Screen%2520Shot%25202017-05-08%2520at%252012.47.20%2520PM.png),"Genre Plaid, Primary Orange, Secondary White, Field Large, Contrast Medium, Bright High",rec7Ksh26msRvCdHP
235,The Gray Knit,GRAYVB,ckPoFDH0S12PV8kK5X3g_Screen%20Shot%202018-02-02%20at%204.10.58%20PM.png (https://dl.airtable.com/5J8ZSUaqRIS0BLwzrB18_ckPoFDH0S12PV8kK5X3g_Screen%2520Shot%25202018-02-02%2520at%25204.10.58%2520PM.png),"Primary darkslategray, Secondary dimgrey,  Bright Low,  Contrast Low, Field Large, Genre Stripe",rec7QCv96DhK2VI3h
236,Jardin of Chauvin,ALEXIS,wXhNdaBbT7uoCIgRg0pI_Screen%20Shot%202017-07-12%20at%206.05.44%20PM.png (https://dl.airtable.com/RugbJnSJ6JZFxhfKQSZw_wXhNdaBbT7uoCIgRg0pI_Screen%2520Shot%25202017-07-12%2520at%25206.05.44%2520PM.png),"Contrast High, Bright Low, Genre Animal, Field Medium, Secondary Blue, Primary Black",rec7TpJcL6Uy5fca1
237,Prussian Blue,PRUSER,vFzwOI7eSpaGlZTcAz2T_rw5.png (https://dl.airtable.com/u6UnezRQJehsQe42v3Cs_vFzwOI7eSpaGlZTcAz2T_rw5.png),"Primary midnightblue,  Bright Low,  Contrast Low, Field Large, Genre Floral",rec7VdFaUF0Mkv4fe
238,cancer red,CANCQZ,1OS6n6p0TxKSYeHSlSHf_Screen%20Shot%202017-09-28%20at%2011.03.05%20AM.png (https://dl.airtable.com/7Yi97QlRcel4BDf3V2Qt_1OS6n6p0TxKSYeHSlSHf_Screen%2520Shot%25202017-09-28%2520at%252011.03.05%2520AM.png),"Primary Red, Secondary Yellow, Field Large, Contrast High, Bright High, Genre Jewel",rec7WY0FygoxqJ8Mg
239,NF Poem Maryam 7x7 Black G with White Circle Patch,NFPOAO,6Hos2xaRbCujv748LKAI_Screen%20Shot%202018-09-28%20at%2011.37.38%20AM.jpg (https://dl.airtable.com/n1R8DCPoSx6DnCuv3Qce_6Hos2xaRbCujv748LKAI_Screen%2520Shot%25202018-09-28%2520at%252011.37.38%2520AM.jpg),"Primary whitesmoke, Secondary black,  Bright Medium,  Contrast Medium, Field Medium, Genre Jewel",rec7c2UdOjcnBymZg
240,Black and Blue Stripes,BLACKF,,,rec7cnHL8RGqLYru7
241,CLAWMOCHI YELLOW,CLAWPZ,iFXPowJuQ0KOwBfgWKGg_Screen%20Shot%202018-08-21%20at%205.37.10%20PM.png (https://dl.airtable.com/SOlegnwcT8CnthJLZUCY_iFXPowJuQ0KOwBfgWKGg_Screen%2520Shot%25202018-08-21%2520at%25205.37.10%2520PM.png),"Primary greenyellow,  Bright High,  Contrast Low, Field Large, Genre Nature",rec7dQD5v1WwMYEi1
242,Sunburst Patch 1Fatigue 3x4 Circle Patch,SUNBFF,lsuUuC4wThS3Jwfsh3hG_1Fatigue%20Screen%20Shot%202018-09-28%20at%203.23.30%20PM.jpg (https://dl.airtable.com/qyij0EtrT1CWpsFOXEoU_lsuUuC4wThS3Jwfsh3hG_1Fatigue%2520Screen%2520Shot%25202018-09-28%2520at%25203.23.30%2520PM.jpg),"Primary darkolivegreen, Secondary white,  Bright Medium,  Contrast Medium, Field Medium, Genre Floral",rec7hQxrOVQvuCULs
243,Pocket Bags - Sticks - Single Weave - Black,POCKHP,w05Yyo71S9ac9wNQYo2h_Screen%20Shot%202018-05-23%20at%205.42.36%20PM.png (https://dl.airtable.com/am2EtTXiTDuplNfswTnz_w05Yyo71S9ac9wNQYo2h_Screen%2520Shot%25202018-05-23%2520at%25205.42.36%2520PM.png),"Primary black, Secondary grey,  Bright Low,  Contrast Low, Field Medium, Genre Stripe",rec7iT3leH8aFUC3Z
244,Eggshell,GGSHJH,ezqSfKHRTOu9VKnkFrhq_Screen%20Shot%202018-11-01%20at%203.17.36%20PM.jpg (https://dl.airtable.com/xE2SjytSP2IOAzy90fq1_ezqSfKHRTOu9VKnkFrhq_Screen%2520Shot%25202018-11-01%2520at%25203.17.36%2520PM.jpg),"Primary antiquewhite,  Bright High,  Contrast Low, Field Large, Genre Floral",rec7mxXHYGEfe0IUI
245,Infrared Peach Stripe,INFRNY,zRdzYz5uQgWWpVz0gZXf_Screen%20Shot%202018-08-31%20at%204.07.27%20PM.png (https://dl.airtable.com/sm0OkT5oTqKBkSjOfnOM_zRdzYz5uQgWWpVz0gZXf_Screen%2520Shot%25202018-08-31%2520at%25204.07.27%2520PM.png),"Primary Red, Secondary Beige, Field Small, Contrast Low, Bright High, Genre Stripe",rec7n3UNOPhe6xwVi
246,The Wilson Plaid,WILSPB,lmwPvTu5TWWGky6vpl7g_Screen%20Shot%202018-03-23%20at%201.06.55%20PM.png (https://dl.airtable.com/RWACl8NbRyKDMSNWy29u_lmwPvTu5TWWGky6vpl7g_Screen%2520Shot%25202018-03-23%2520at%25201.06.55%2520PM.png),"Primary White, Secondary Red, Field Medium, Contrast High, Bright Medium, Genre Plaid, Genre Stripe",rec7sqD4klxXcJk2r
247,SPACE TEDDY LAVENDER,SPACXO,a5zYYFpOSUOTHm2u1wfn_Screen%20Shot%202018-06-01%20at%201.06.03%20PM.png (https://dl.airtable.com/6SzVgS0fSqGdxYWeJxgb_a5zYYFpOSUOTHm2u1wfn_Screen%2520Shot%25202018-06-01%2520at%25201.06.03%2520PM.png),"Primary lightsteelblue,  Bright High,  Contrast Low, Field Large, Genre Nature",rec7tO3Y75OnYhqza
248,Placement Print of Graffiti Floral on Heathered Grey,PLACQO,dDSea2ZOS2GnmdKAZds6_Screen%20Shot%202018-03-19%20at%204.51.00%20PM.png (https://dl.airtable.com/t3kDS9JTienFp6VAxDwZ_dDSea2ZOS2GnmdKAZds6_Screen%2520Shot%25202018-03-19%2520at%25204.51.00%2520PM.png),"Primary gainsboro, Secondary grey,  Bright Medium,  Contrast Low, Field Medium, Genre Floral",rec7wSGoPdizzrpP4
249,rose and camel shell,ROSANP,,,rec7xc97aOcWmJjtP
250,Upstate Florals,BLACKJ,Mt8uVa9bSu30YctJ3yKE_Screen%20Shot%202017-08-03%20at%2012.21.29%20PM.png (https://dl.airtable.com/85D660ReW88Porx47Tug_Mt8uVa9bSu30YctJ3yKE_Screen%2520Shot%25202017-08-03%2520at%252012.21.29%2520PM.png),"Primary black, Secondary slategray,  Bright Low,  Contrast Low, Field Medium, Genre Plaid",rec7yVBbizFkPr0o3
251,The Navy Paradox Plaid,NAVYRJ,NEbfwJnMTOX3Ml8Cb1aA_Screen%20Shot%202017-10-10%20at%205.15.06%20PM.png (https://dl.airtable.com/zHsghRF2T9uQAP3s5iI7_NEbfwJnMTOX3Ml8Cb1aA_Screen%2520Shot%25202017-10-10%2520at%25205.15.06%2520PM.png),"Primary Blue, Field Solid",rec80KJ9SqYXE6Atd
252,TRIPPY BIGSTARS,TRIPMW,H8GxzQZKSIoDNNxJSwVN_Screen%20Shot%202017-12-22%20at%205.06.38%20PM.png (https://dl.airtable.com/2Vgo72NOR1eQUCN6MBpg_H8GxzQZKSIoDNNxJSwVN_Screen%2520Shot%25202017-12-22%2520at%25205.06.38%2520PM.png),"Primary darkslategray, Secondary powderblue,  Bright Medium,  Contrast Low, Field Medium, Genre Nature",rec829AgJCmvNWzOI
253,TEST 05,TST0IM,8VEwEabhT5aWbbVNYidH_TEST%2005.png (https://dl.airtable.com/62TImH6GRAuMJQvo2mAA_8VEwEabhT5aWbbVNYidH_TEST%252005.png),"Primary sienna, Secondary saddlebrown,  Bright Medium,  Contrast Low, Field Large, Genre Nature",rec82XuF0OxLvhADd
254,Electric Magenta,LCTRBN,ws07yPLnTLS0XtOCdqmR_Screen%20Shot%202018-11-01%20at%203.17.45%20PM.jpg (https://dl.airtable.com/e19zYHpQyS1a4dKnNpoQ_ws07yPLnTLS0XtOCdqmR_Screen%2520Shot%25202018-11-01%2520at%25203.17.45%2520PM.jpg),"Primary deeppink,  Bright Medium,  Contrast Low, Field Large, Genre Jewel",rec82zfhIuQAu4XOA
255,The Italian COMSUBIN Plaid-bias,ITALQE,KCvuom2RnieP9ScZZqSN_tartan_a58b.png (https://dl.airtable.com/JS6myTtZQ8qjyRfwKACb_KCvuom2RnieP9ScZZqSN_tartan_a58b.png),"Primary darkolivegreen, Secondary rosybrown,  Bright Medium,  Contrast Low, Field Large, Genre Stripe",rec84Gr7NVUG28M0C
256,NF Maryam Poem Nike G with Black Graphic ,NFMAJA,xnMDeIuR0KUdDAqlTdqw_Screen%20Shot%202018-09-13%20at%201.58.21%20PM.jpg (https://dl.airtable.com/twmetKWJQ6eEVrIMl1kC_xnMDeIuR0KUdDAqlTdqw_Screen%2520Shot%25202018-09-13%2520at%25201.58.21%2520PM.jpg),"Primary tan, Secondary black,  Bright High,  Contrast Low, Field Large, Genre Jewel",rec84cZroQ26ZUPiu
257,The Beuys Plaid,BUYSXS,TOMAe6ESeKnHRrr8i8Mr_Screen%20Shot%202018-05-14%20at%2012.45.32%20PM.png (https://dl.airtable.com/QeppEsnEQhKf44Ep9EX0_TOMAe6ESeKnHRrr8i8Mr_Screen%2520Shot%25202018-05-14%2520at%252012.45.32%2520PM.png),"Genre Plaid, Genre Stripe, Genre Blocking, Primary Brown, Primary Gray, Field Medium, Contrast Low, Bright Low",rec859pUndRHTayhq
258,aquarius necklace red,AQUARI,F9UXbQUKS6TsgwuqXEvm_Screen%20Shot%202017-08-01%20at%2010.12.01%20AM.png (https://dl.airtable.com/5ogiTkwzRIy00ArFw33U_F9UXbQUKS6TsgwuqXEvm_Screen%2520Shot%25202017-08-01%2520at%252010.12.01%2520AM.png),"Primary Red, Secondary Yellow, Field Large, Contrast High, Bright High, Genre Jewel",rec85EEJ6dcvdXXzn
259,The Military Grey Plaid,DRESMIL R2,9l1WEtBhRLioNt83ht0A_Screen%20Shot%202017-05-24%20at%205.47.38%20PM.png (https://dl.airtable.com/foUbX0H7TGyKRmvx1w86_9l1WEtBhRLioNt83ht0A_Screen%2520Shot%25202017-05-24%2520at%25205.47.38%2520PM.png),"Primary darkgray, Secondary dimgrey,  Bright Medium,  Contrast Low, Field Large, Genre Floral",rec87mbUDRYlnzVk2
260,Jaunty Floral,JOHNTY,Vvr7M5vVTrZP5oLFXXG6_Screen%20Shot%202017-08-23%20at%2010.00.45%20AM.png (https://dl.airtable.com/d8Z2WummQd6lclEUyZR8_Vvr7M5vVTrZP5oLFXXG6_Screen%2520Shot%25202017-08-23%2520at%252010.00.45%2520AM.png),"Primary Ivory, Secondary Black, Field Small, Contrast Medium, Bright Low, Genre Floral",rec87zsevb2aUyPUp
261,tucker,TUCKRY,,,rec89P0eCKr1NFsQT
262,NF Words Black with White,NFWOVX,i5VTLIG9RJOkduxqvzEm_Screen%20Shot%202018-09-13%20at%202.14.14%20PM.jpg (https://dl.airtable.com/2DMf3yl7SzCBWQgRpDUg_i5VTLIG9RJOkduxqvzEm_Screen%2520Shot%25202018-09-13%2520at%25202.14.14%2520PM.jpg),"Primary black, Secondary darkgray,  Bright Low,  Contrast Low, Field Medium, Genre Happy",rec8AU0v814jaYQqy
263,YELLOW PINEAPPLE,YLLONM,G2xrqqNaQVePVpUZeWln_Screen%20Shot%202017-12-08%20at%205.21.15%20PM.png (https://dl.airtable.com/Nm2KMcAYS4ivx1qeGNqy_G2xrqqNaQVePVpUZeWln_Screen%2520Shot%25202017-12-08%2520at%25205.21.15%2520PM.png),"Primary darkseagreen, Secondary sandybrown,  Bright High,  Contrast Low, Field Large, Genre Floral",rec8F21zMYovk97sZ
264,GUSSET LOVLES,GUSSAN,vkhXrruEQymD7KB3ljXO_GUSSET%20LOVLES.JPG (https://dl.airtable.com/RZfkH4TsCUziULvDwJ4w_vkhXrruEQymD7KB3ljXO_GUSSET%2520LOVLES.JPG),"Primary black, Secondary snow,  Bright Medium,  Contrast Medium, Field Large, Genre Geometric",rec8FydlMgTZGDgUB
