,Color_Name_,Color_Code,IMAGE,TAG: Color,id
14,The London Calling Plaid,LONDTN,a5jpgTrDTqWcoukdvMZD_Screen%20Shot%202018-06-12%20at%203.13.40%20PM.png (https://dl.airtable.com/8RtTfJbScOahkpGDPx0A_a5jpgTrDTqWcoukdvMZD_Screen%2520Shot%25202018-06-12%2520at%25203.13.40%2520PM.png),"Genre Plaid, Primary Pink, Secondary Green, Field Medium, Contrast Medium, Bright Low",rec0exopjH3uQ13fj
15,NAVY WITH PINK & WHITE STRIPE,NAVYWA,PULoFwFQSLepfgbWJknR_Screen%20Shot%202017-05-24%20at%2011.57.26%20AM.png (https://dl.airtable.com/DcIze17JS5yOjRdRPXzB_PULoFwFQSLepfgbWJknR_Screen%2520Shot%25202017-05-24%2520at%252011.57.26%2520AM.png),"Primary lavenderblush, Secondary black,  Bright Low,  Contrast Low, Field Medium, Genre Nature",rec0gLm3KfGn7fEOH
16,NF Maryam Poem 7x7 Black G with W Geometric Poem,NFMAZL,HJkANxHTG28MPKrcIzLV_Geometric%20Screen%20Shot%202018-09-28%20at%2011.38.01%20AM.jpg (https://dl.airtable.com/YXsnG6QuehinQN7grQ4p_HJkANxHTG28MPKrcIzLV_Geometric%2520Screen%2520Shot%25202018-09-28%2520at%252011.38.01%2520AM.jpg),"Primary darkgray, Secondary black,  Bright Low,  Contrast Low, Field Medium, Genre Happy",rec0jOvi7dDrNmmpF
17,Desert Sand ,DSRTLD,eeF94uowQG9IAlVysSBF_Screen%20Shot%202018-05-25%20at%201.08.29%20PM.png (https://dl.airtable.com/32XnJGFETYGaHA7uHnOb_eeF94uowQG9IAlVysSBF_Screen%2520Shot%25202018-05-25%2520at%25201.08.29%2520PM.png),"Primary indianred, Secondary darkgray,  Bright Medium,  Contrast Low, Field Large, Genre Plaid",rec0k5UEUATgXUyDv
18,TEDDY STRIKEOFF,TDDYLL,9xddyV8VRiqHswNQfeLs_Screen%20Shot%202018-04-25%20at%203.33.51%20PM.png (https://dl.airtable.com/ImVMeqGSi2yWgYvb8L9d_9xddyV8VRiqHswNQfeLs_Screen%2520Shot%25202018-04-25%2520at%25203.33.51%2520PM.png),"Primary silver, Secondary steelblue,  Bright Medium,  Contrast Low, Field Large, Genre Nature",rec0kKS9YHjILbRzi
19,The Where the Wild Things Are Plaid,WILDTH,Z3DTOuzKSniqFN3DNdgk_Screen%20Shot%202017-05-08%20at%2012.47.42%20PM.png (https://dl.airtable.com/BeA8D8giTZGReTNjARVR_Z3DTOuzKSniqFN3DNdgk_Screen%2520Shot%25202017-05-08%2520at%252012.47.42%2520PM.png),"Genre Plaid, Primary Blue, Secondary Beige, Field Large, Bright Low, Contrast Low",rec0klRyFbgN915s4
20,White Lines on Maroon,WHITLU,xmxGUITlR6h06QyRt7iw_white%20line%20test%20maroon%20test.jpg (https://dl.airtable.com/imk8EtS9SRiEeIf3YyTS_xmxGUITlR6h06QyRt7iw_white%2520line%2520test%2520maroon%2520test.jpg),"Primary black, Secondary darkgray,  Bright Low,  Contrast Low, Field Medium, Genre Whimsy",rec0kpt5aV5XuvlSv
21,Navy Ivory and Black Santiago,NAVYID,,,rec0ljvA1mZAQxg7R
22,The Technique Plaid,TCHNVF,S7xh8QbSAaVBwhzoT3SQ_Screen%20Shot%202018-11-26%20at%2011.04.43%20AM.png (https://dl.airtable.com/4pFdB6ZMSAaj1yQhu4Ix_S7xh8QbSAaVBwhzoT3SQ_Screen%2520Shot%25202018-11-26%2520at%252011.04.43%2520AM.png),"Primary darkslategray, Secondary indigo,  Bright Low,  Contrast Low, Field Medium, Genre Floral",rec0mFz0ALpov7dtD
23,Poppies At Night ,POPPUE,PldOrI31QoSw5HPTolma_Screen%20Shot%202018-07-26%20at%203.40.20%20PM.png (https://dl.airtable.com/1nL9NRxwQySiT8jS6n9B_PldOrI31QoSw5HPTolma_Screen%2520Shot%25202018-07-26%2520at%25203.40.20%2520PM.png),"Primary Black, Secondary Red, Field Medium, Contrast High, Bright High, Genre Floral, Genre Nature",rec0mwFzcI9svDlLy
24,The Cornell University Dark Plaid,CORNLI,21QFKU6VTbS9RsYMEnbw_Screen%20Shot%202017-05-24%20at%204.40.16%20PM.png (https://dl.airtable.com/SXsxVFAFQDWvlRAkWnze_21QFKU6VTbS9RsYMEnbw_Screen%2520Shot%25202017-05-24%2520at%25204.40.16%2520PM.png),"Primary sienna, Secondary silver,  Bright Medium,  Contrast Low, Field Large, Genre Stripe",rec0qXeVarHFLUDyW
25,SPACE TEDDY ALLOVER,SPACFN,3ctEIrCrTA2CK5J5FOFE_Screen%20Shot%202018-07-30%20at%2012.55.34%20PM.png (https://dl.airtable.com/lsIKIzRURzGWQwE3ov4b_3ctEIrCrTA2CK5J5FOFE_Screen%2520Shot%25202018-07-30%2520at%252012.55.34%2520PM.png),"Primary lightgray, Secondary darkslateblue,  Bright Medium,  Contrast Low, Field Large, Genre Plaid",rec0r66f8QHArdGVP
26,WHATEVER 4 EVER,WHATZO,Mh5XkrSqRUCZSINnkz61_WHATEVER%204%20EVER.JPG (https://dl.airtable.com/3M4upZetTkml3vDocIOs_Mh5XkrSqRUCZSINnkz61_WHATEVER%25204%2520EVER.JPG),"Primary indigo, Secondary white,  Bright High,  Contrast Low, Field Large, Genre Jewel",rec0u7WxOGREYwxFC
27,Golden Stamps,GOLDTU,s3qlEFPERcaHPCVCylhb_Screen%20Shot%202017-06-01%20at%2012.00.07%20PM.png (https://dl.airtable.com/xx93gnnXRG2GYERjackg_s3qlEFPERcaHPCVCylhb_Screen%2520Shot%25202017-06-01%2520at%252012.00.07%2520PM.png),"Primary Orange, Secondary Yellow, Field Large, Contrast Medium, Bright Medium, Genre Geometric",rec0z74hl2uQiQEtY
28,Spring Gingham,SPRIUW,B0sd0tOwTg6VOI5FU3k8_Screen%20Shot%202018-07-26%20at%204.19.30%20PM.png (https://dl.airtable.com/DjJ4D47ETsuoUeYIJy3d_B0sd0tOwTg6VOI5FU3k8_Screen%2520Shot%25202018-07-26%2520at%25204.19.30%2520PM.png),"Primary Charcoal, Secondary White, Field Small, Bright Medium, Contrast Medium, Genre Plaid",rec0zVjJy1GVIpDI4
29,Navy Fair Isle,NAVYRA,7Shj83hQRPKqbnR4w8mU_Screen%20Shot%202018-11-19%20at%2010.59.01%20PM.png (https://dl.airtable.com/ON1vwqyTmKuoOjrvU8pQ_7Shj83hQRPKqbnR4w8mU_Screen%2520Shot%25202018-11-19%2520at%252010.59.01%2520PM.png),"Primary darkgray, Secondary darkslategray,  Bright Low,  Contrast Low, Field Medium, ",rec12a7Pghfibn9iQ
30,POWDER BLUE ,POWDSI,y3kdL5lhSCqNANN2DttF_Screen%20Shot%202017-12-08%20at%203.35.56%20PM.png (https://dl.airtable.com/TH005Nt5Sz2sVyjMd0Ru_y3kdL5lhSCqNANN2DttF_Screen%2520Shot%25202017-12-08%2520at%25203.35.56%2520PM.png),"Primary skyblue,  Bright High,  Contrast Low, Field Large, Genre Jewel",rec13C4Zh1y2qNZrs
31,SPACE TEDDY ANORAK,SPACYN,xwicj6f7RQed5XAatyuu_Screen%20Shot%202018-06-04%20at%2012.25.03%20PM.png (https://dl.airtable.com/0N9GfBPZQWObFkq4I0h8_xwicj6f7RQed5XAatyuu_Screen%2520Shot%25202018-06-04%2520at%252012.25.03%2520PM.png),"Primary oldlace, Secondary dimgrey,  Bright High,  Contrast Low, Field Large, Genre Jewel",rec14iXmAFj9wnwkW
32,red gingham,RDGINV,VtN9QfYQSESaFbr68kt9_Screen%20Shot%202018-07-26%20at%203.59.58%20PM.png (https://dl.airtable.com/oMYd8j6GTyuoyfg7mRtY_VtN9QfYQSESaFbr68kt9_Screen%2520Shot%25202018-07-26%2520at%25203.59.58%2520PM.png),"Primary indianred, Secondary snow,  Bright Medium,  Contrast Low, Field Medium, Genre Happy",rec15cRvO6CTjJcZV
